NOW,TEAM_ID,millis,count,altp,temp,umi,p,gp,gr,gy,ap,ar,ay,hora,data,alt,lat,lon,sat,pqd,rssi
2025-10-31 21:01:00,#100,330371,829,9.09,21.14,nan,921.32,0.48,0.29,0.39,-0.55,4.95,10.10,00:00:49,2025/11/01,918.40,-22.28692833,-42.54167267,5,1,-100
2025-10-31 21:01:01,#100,330864,830,8.98,21.14,nan,921.33,-0.19,0.64,0.19,-2.46,3.61,8.78,00:00:50,2025/11/01,918.60,-22.28693217,-42.54166583,5,1,-96
2025-10-31 21:01:01,#100,331223,831,9.34,21.15,nan,921.29,-0.53,0.38,0.75,-1.86,2.79,6.01,00:00:50,2025/11/01,918.60,-22.28693217,-42.54166583,5,1,-100
2025-10-31 21:01:02,#100,331585,832,8.82,21.15,nan,921.35,-0.47,-0.68,-0.40,-0.17,4.86,8.85,00:00:51,2025/11/01,918.30,-22.28692750,-42.54166000,5,1,-97
2025-10-31 21:01:02,#100,331953,833,9.34,21.14,nan,921.29,-0.22,0.75,-0.09,-1.85,4.76,9.99,00:00:51,2025/11/01,918.30,-22.28692750,-42.54166000,5,1,-97
2025-10-31 21:01:03,#100,332321,834,9.67,21.15,nan,921.25,0.41,-0.04,-1.01,-1.36,2.74,6.12,00:00:51,2025/11/01,918.30,-22.28692750,-42.54166000,5,1,-93
2025-10-31 21:01:03,#100,332686,835,9.40,21.15,nan,921.28,0.48,-0.68,-1.23,-0.89,4.35,9.05,00:00:52,2025/11/01,918.10,-22.28691950,-42.54165750,4,1,-92
2025-10-31 21:01:04,#100,333068,836,9.61,21.15,nan,921.26,-0.06,0.37,0.04,-2.00,3.68,9.66,00:00:52,2025/11/01,918.10,-22.28691950,-42.54165750,4,1,-93
2025-10-31 21:01:04,#100,333435,837,9.16,21.16,nan,921.31,0.41,0.49,0.22,-1.35,3.86,7.41,00:00:53,2025/11/01,918.10,-22.28691817,-42.54165733,4,1,-87
2025-10-31 21:01:05,#100,333801,838,9.31,21.15,nan,921.29,-0.01,-0.25,-0.73,-1.50,3.32,7.47,00:00:53,2025/11/01,918.10,-22.28691817,-42.54165733,5,1,-91
2025-10-31 21:01:05,#100,334176,839,9.27,21.16,nan,921.30,-0.14,0.20,0.29,0.17,2.64,11.89,00:00:53,2025/11/01,918.10,-22.28691817,-42.54165733,5,1,-87
2025-10-31 21:01:06,#100,334542,840,9.21,21.17,nan,921.30,-0.05,0.08,-0.22,-0.85,5.03,9.57,00:00:54,2025/11/01,917.70,-22.28691083,-42.54164917,5,1,-86
2025-10-31 21:01:06,#100,334921,841,9.49,21.17,nan,921.27,0.95,-0.23,-0.91,-3.33,1.00,8.06,00:00:54,2025/11/01,917.70,-22.28691083,-42.54164917,5,1,-98
2025-10-31 21:01:07,#100,335301,842,8.97,21.18,nan,921.33,0.01,0.71,0.89,-0.58,2.84,6.73,00:00:54,2025/11/01,917.70,-22.28691083,-42.54164917,5,1,-89
2025-10-31 21:01:07,#100,336047,844,9.27,21.19,nan,921.30,0.40,0.50,-0.18,-3.37,3.42,9.42,00:00:55,2025/11/01,917.60,-22.28690617,-42.54164567,5,1,-87
2025-10-31 21:01:08,#100,336421,845,8.98,21.18,nan,921.33,-0.14,0.53,0.43,-1.56,3.95,7.34,00:00:56,2025/11/01,917.60,-22.28690517,-42.54164900,5,1,-96
2025-10-31 21:01:08,#100,336921,846,9.39,21.19,nan,921.28,0.97,-0.26,-0.53,-1.57,2.17,4.71,00:00:56,2025/11/01,917.60,-22.28690517,-42.54164900,5,1,-91
2025-10-31 21:01:09,#100,337306,847,9.15,21.20,nan,921.31,-1.42,-0.26,0.30,-1.34,5.03,6.81,00:00:56,2025/11/01,917.60,-22.28690517,-42.54164900,5,1,-87
2025-10-31 21:01:09,#100,337683,848,8.87,21.21,nan,921.34,-0.64,-0.58,-0.40,-1.21,8.08,7.70,00:00:57,2025/11/01,917.30,-22.28690433,-42.54166183,5,1,-86
2025-10-31 21:01:10,#100,338448,850,8.91,21.22,nan,921.34,0.60,0.97,-0.02,-1.86,6.03,5.81,00:00:58,2025/11/01,917.30,-22.28690350,-42.54165800,5,1,-84
2025-10-31 21:01:10,#100,338827,851,9.20,21.22,nan,921.30,-0.43,-0.16,-0.11,-1.88,4.68,4.98,00:00:58,2025/11/01,917.30,-22.28690350,-42.54165800,4,1,-81
2025-10-31 21:01:11,#100,339598,853,8.88,21.23,nan,921.34,-0.81,-0.30,0.02,-0.77,7.11,10.05,00:00:59,2025/11/01,917.30,-22.28689850,-42.54166167,4,1,-89
2025-10-31 21:01:11,#100,340365,855,8.83,21.24,nan,921.34,0.23,0.32,0.01,-2.71,3.61,5.64,00:00:59,2025/11/01,917.30,-22.28689850,-42.54166167,4,1,-85
2025-10-31 21:01:12,#100,341130,857,8.86,21.25,nan,921.34,-0.78,-0.10,-0.03,-1.61,7.41,10.50,00:01:00,2025/11/01,917.50,-22.28690333,-42.54166317,5,1,-88
2025-10-31 21:01:12,#100,341915,859,9.08,21.25,nan,921.32,-0.04,0.35,-0.07,-3.48,6.57,7.85,00:01:01,2025/11/01,917.60,-22.28690717,-42.54168217,5,1,-85
2025-10-31 21:01:13,#100,342286,860,9.05,21.25,nan,921.32,-0.30,0.14,0.15,-2.64,4.17,5.43,00:01:01,2025/11/01,917.60,-22.28690717,-42.54168217,5,1,-83
2025-10-31 21:01:13,#100,343144,862,9.16,21.26,nan,921.31,-0.05,-0.42,0.35,-2.09,5.55,9.00,00:01:02,2025/11/01,917.40,-22.28690900,-42.54169317,4,1,-85
2025-10-31 21:01:14,#100,343512,863,9.08,21.27,nan,921.32,0.40,-0.31,0.62,-1.00,6.98,8.51,00:01:03,2025/11/01,917.40,-22.28691333,-42.54169267,4,1,-83
2025-10-31 21:01:14,#100,343877,864,9.11,21.27,nan,921.31,0.50,0.26,0.10,-3.45,6.30,6.89,00:01:03,2025/11/01,917.70,-22.28691333,-42.54169267,5,1,-88
2025-10-31 21:01:15,#100,344244,865,9.22,21.28,nan,921.30,0.08,0.55,0.06,-2.51,4.69,4.23,00:01:03,2025/11/01,917.70,-22.28691333,-42.54169267,5,1,-80
2025-10-31 21:01:15,#100,344602,866,8.98,21.28,nan,921.33,-0.23,-0.27,-0.50,-2.35,4.05,6.09,00:01:04,2025/11/01,917.30,-22.28691433,-42.54170700,5,1,-94
2025-10-31 21:01:16,#100,345353,868,9.36,21.29,nan,921.29,0.15,0.37,-0.07,-3.18,6.50,8.59,00:01:04,2025/11/01,917.30,-22.28691433,-42.54170700,5,1,-83
2025-10-31 21:01:16,#100,345719,869,9.26,21.30,nan,921.30,0.33,-0.09,-0.13,-2.82,4.29,6.49,00:01:05,2025/11/01,917.50,-22.28691717,-42.54170067,5,1,-78
2025-10-31 21:01:17,#100,346475,871,9.35,21.32,nan,921.29,-0.24,-0.23,0.29,-3.19,7.33,8.30,00:01:06,2025/11/01,917.50,-22.28691817,-42.54170083,5,1,-85
2025-10-31 21:01:17,#100,347224,873,9.25,21.33,nan,921.30,0.17,0.44,0.09,-3.06,4.16,4.30,00:01:06,2025/11/01,917.30,-22.28691817,-42.54170083,5,1,-84
2025-10-31 21:01:18,#100,347593,874,9.08,21.34,nan,921.32,0.71,0.12,0.00,-3.39,5.89,8.31,00:01:07,2025/11/01,917.40,-22.28691233,-42.54170883,5,1,-80
2025-10-31 21:01:18,#100,348339,876,9.31,21.36,nan,921.29,0.06,0.49,0.01,-2.78,1.42,-9.34,00:01:07,2025/11/01,917.40,-22.28691233,-42.54170883,5,1,-75
2025-10-31 21:01:19,#100,349364,878,9.12,21.37,nan,921.31,0.13,0.21,-0.16,-2.08,7.41,7.08,00:01:08,2025/11/01,917.40,-22.28691417,-42.54171400,5,1,-75
2025-10-31 21:01:19,#100,349789,879,9.37,21.38,nan,921.29,-0.29,-0.12,-0.29,-4.23,6.24,7.65,00:01:09,2025/11/01,917.20,-22.28691750,-42.54173100,5,1,-86
2025-10-31 21:01:20,#100,350895,881,9.21,21.39,nan,921.30,-0.12,0.06,0.38,-4.24,8.99,8.94,00:01:10,2025/11/01,917.50,-22.28691967,-42.54173250,5,1,-80
2025-10-31 21:01:20,#100,351442,882,9.12,21.43,nan,921.31,-0.05,-0.33,-0.20,-2.55,7.56,7.86,00:01:11,2025/11/01,917.50,-22.28691950,-42.54173983,5,1,-81
